Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C21, C22, C23, C24, C25, C26, C27, C29, C30, C31, C34, C35, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C50, C51, C53, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C67, C69, C70, C71, C74, C75, C76, C77, C78, C79, C80, C81, C9",0201,56,0.1uF,
"C15, C16, C17, C2, C68, C7",0402,6,10uF,
"C18, C19, C47, C48, C72, C73",0201,6,30pF,
"C20, C28, C33, C36, C49, C54, C66",0402,7,1uF,
"C3, C4, C5",0603,3,22uF,
"C32, C52",0201,2,0.01uF,
D1,D_SOD-523,1,LESD5D5-0CT1G,
D2,0402,1,XL-1005UBC,
IC1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MT9700,
IC2,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,1,SL2.1s,
IC3,SON50P300X200X60-9N_handsolder,1,W25Q16JVUXIQ,
IC4,QFN50P500X500X60-33N_handsolder,1,LCMXO2-1200HC-4SG32I,https://www.lcsc.com/product-detail/Programmable-Logic-Device-CPLDs-FPGAs_Lattice-LCMXO2-1200HC-4SG32I_C1551142.html
J1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,
J10,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J11, J6, J7, J8, J9",PinHeader_2x03_P2.54mm_Vertical,5,Conn_02x03_Odd_Even,
"J2, J3, J4, J5",WJ126V-5.0-2P,4,WJ126V-5.0-2P,
"L1, L2, L4, L6, L7, L8",0402,6,HCB1005KF-121T20,
L3,FTC252012S1R5MBCA,1,1.5uH,
"R1, R2, R26, R27, R36, R5",0201,6,4.7k,
"R10, R11",0201,2,5.1k,
"R12, R54, R57, R58, R62, R65",0201,6,0,
"R14, R15, R22, R32, R46, R47, R59, R61",0201,8,30,
"R16, R21, R30, R34, R37, R41, R42, R45",0201,8,1M,
"R17, R18, R28, R35, R63, R64, R71, R9",0201,8,2.2k,
"R19, R20, R31, R33, R39, R40, R43, R44",0201,8,510,
"R23, R24, R25, R29, R3, R38, R48, R49, R50, R51, R53, R55, R56",0201,13,10k,
R4,0201,1,100k,
R52,0201,1,12k,
"R6, R66, R67, R68, R69",0201,5,1k,
R7,0402,1,3.4k,
R70,0201,1,470,
R8,0201,1,22k,
S1,SW_SKRPACE010,1,SKRPACE010,
SW1,DSWB03BLHGET,1,DSWB03LHGET,
"TP1, TP10, TP11, TP12, TP3, TP6, TP8, TP9",TestPoint_Pad_D1.0mm,8,TestPoint,
U1,TSOT-23-5,1,RT5752AHGJ5,
"U10, U3, U6",CRYSTAL-SMD_4P-L2.5-W2.0-BL,3,RQ12000160,
"U11, U12",SOT-23-THIN-16_DYY_TEX,2,TMUX1574DYYR,https://www.lcsc.com/product-detail/Analog-Switches-Multiplexers_Texas-Instruments-TMUX1574DYYR_C1855769.html
U2,DBZ0003A_N,1,TLV803SDBZR,
"U4, U7",DGS0010A_M,2,ADS1115IDGSR,
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_handsolder,1,RP2040,
U8,LQFP-64_10x10mm_P0.5mm,1,FT2232HL,
U9,93LC56BT-I,1,SOT-23-6,
